areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
overview,United Kingdom,K02000001,2021-08-07,105,156869
overview,United Kingdom,K02000001,2021-08-06,95,156764
overview,United Kingdom,K02000001,2021-08-05,99,156669
overview,United Kingdom,K02000001,2021-08-04,91,156570
overview,United Kingdom,K02000001,2021-08-03,79,156479
overview,United Kingdom,K02000001,2021-08-02,91,156400
overview,United Kingdom,K02000001,2021-08-01,96,156309
overview,United Kingdom,K02000001,2021-07-31,90,156213
overview,United Kingdom,K02000001,2021-07-30,101,156123
overview,United Kingdom,K02000001,2021-07-29,85,156022
overview,United Kingdom,K02000001,2021-07-28,81,155937
overview,United Kingdom,K02000001,2021-07-27,74,155856
overview,United Kingdom,K02000001,2021-07-26,77,155782
overview,United Kingdom,K02000001,2021-07-25,70,155705
overview,United Kingdom,K02000001,2021-07-24,67,155635
overview,United Kingdom,K02000001,2021-07-23,79,155568
overview,United Kingdom,K02000001,2021-07-22,85,155489
overview,United Kingdom,K02000001,2021-07-21,61,155404
overview,United Kingdom,K02000001,2021-07-20,66,155343
overview,United Kingdom,K02000001,2021-07-19,86,155277
overview,United Kingdom,K02000001,2021-07-18,71,155191
overview,United Kingdom,K02000001,2021-07-17,60,155120
overview,United Kingdom,K02000001,2021-07-16,54,155060
overview,United Kingdom,K02000001,2021-07-15,52,155006
overview,United Kingdom,K02000001,2021-07-14,45,154954
overview,United Kingdom,K02000001,2021-07-13,49,154909
overview,United Kingdom,K02000001,2021-07-12,41,154860
overview,United Kingdom,K02000001,2021-07-11,35,154819
overview,United Kingdom,K02000001,2021-07-10,45,154784
overview,United Kingdom,K02000001,2021-07-09,49,154739
overview,United Kingdom,K02000001,2021-07-08,41,154690
overview,United Kingdom,K02000001,2021-07-07,36,154649
overview,United Kingdom,K02000001,2021-07-06,34,154613
overview,United Kingdom,K02000001,2021-07-05,28,154579
overview,United Kingdom,K02000001,2021-07-04,29,154551
overview,United Kingdom,K02000001,2021-07-03,31,154522
overview,United Kingdom,K02000001,2021-07-02,32,154491
overview,United Kingdom,K02000001,2021-07-01,28,154459
overview,United Kingdom,K02000001,2021-06-30,26,154431
overview,United Kingdom,K02000001,2021-06-29,24,154405
overview,United Kingdom,K02000001,2021-06-28,18,154381
overview,United Kingdom,K02000001,2021-06-27,24,154363
overview,United Kingdom,K02000001,2021-06-26,17,154339
overview,United Kingdom,K02000001,2021-06-25,21,154322
overview,United Kingdom,K02000001,2021-06-24,28,154301
overview,United Kingdom,K02000001,2021-06-23,8,154273
overview,United Kingdom,K02000001,2021-06-22,17,154265
overview,United Kingdom,K02000001,2021-06-21,12,154248
overview,United Kingdom,K02000001,2021-06-20,21,154236
overview,United Kingdom,K02000001,2021-06-19,20,154215
overview,United Kingdom,K02000001,2021-06-18,18,154195
overview,United Kingdom,K02000001,2021-06-17,9,154177
overview,United Kingdom,K02000001,2021-06-16,13,154168
overview,United Kingdom,K02000001,2021-06-15,20,154155
overview,United Kingdom,K02000001,2021-06-14,12,154135
overview,United Kingdom,K02000001,2021-06-13,12,154123
overview,United Kingdom,K02000001,2021-06-12,11,154111
overview,United Kingdom,K02000001,2021-06-11,13,154100
overview,United Kingdom,K02000001,2021-06-10,16,154087
overview,United Kingdom,K02000001,2021-06-09,17,154071
overview,United Kingdom,K02000001,2021-06-08,15,154054
overview,United Kingdom,K02000001,2021-06-07,6,154039
overview,United Kingdom,K02000001,2021-06-06,13,154033
overview,United Kingdom,K02000001,2021-06-05,6,154020
overview,United Kingdom,K02000001,2021-06-04,14,154014
overview,United Kingdom,K02000001,2021-06-03,16,154000
overview,United Kingdom,K02000001,2021-06-02,12,153984
overview,United Kingdom,K02000001,2021-06-01,10,153972
overview,United Kingdom,K02000001,2021-05-31,11,153962
overview,United Kingdom,K02000001,2021-05-30,8,153951
overview,United Kingdom,K02000001,2021-05-29,12,153943
overview,United Kingdom,K02000001,2021-05-28,13,153931
overview,United Kingdom,K02000001,2021-05-27,8,153918
overview,United Kingdom,K02000001,2021-05-26,14,153910
overview,United Kingdom,K02000001,2021-05-25,10,153896
overview,United Kingdom,K02000001,2021-05-24,16,153886
overview,United Kingdom,K02000001,2021-05-23,16,153870
overview,United Kingdom,K02000001,2021-05-22,4,153854
overview,United Kingdom,K02000001,2021-05-21,18,153850
overview,United Kingdom,K02000001,2021-05-20,7,153832
overview,United Kingdom,K02000001,2021-05-19,4,153825
overview,United Kingdom,K02000001,2021-05-18,11,153821
overview,United Kingdom,K02000001,2021-05-17,13,153810
overview,United Kingdom,K02000001,2021-05-16,14,153797
overview,United Kingdom,K02000001,2021-05-15,15,153783
overview,United Kingdom,K02000001,2021-05-14,14,153768
overview,United Kingdom,K02000001,2021-05-13,15,153754
overview,United Kingdom,K02000001,2021-05-12,15,153739
overview,United Kingdom,K02000001,2021-05-11,21,153724
overview,United Kingdom,K02000001,2021-05-10,8,153703
overview,United Kingdom,K02000001,2021-05-09,11,153695
overview,United Kingdom,K02000001,2021-05-08,20,153684
overview,United Kingdom,K02000001,2021-05-07,17,153664
overview,United Kingdom,K02000001,2021-05-06,17,153647
overview,United Kingdom,K02000001,2021-05-05,22,153630
overview,United Kingdom,K02000001,2021-05-04,15,153608
overview,United Kingdom,K02000001,2021-05-03,17,153593
overview,United Kingdom,K02000001,2021-05-02,18,153576
overview,United Kingdom,K02000001,2021-05-01,15,153558
overview,United Kingdom,K02000001,2021-04-30,16,153543
overview,United Kingdom,K02000001,2021-04-29,17,153527
overview,United Kingdom,K02000001,2021-04-28,21,153510
overview,United Kingdom,K02000001,2021-04-27,25,153489
overview,United Kingdom,K02000001,2021-04-26,21,153464
overview,United Kingdom,K02000001,2021-04-25,26,153443
overview,United Kingdom,K02000001,2021-04-24,24,153417
overview,United Kingdom,K02000001,2021-04-23,29,153393
overview,United Kingdom,K02000001,2021-04-22,33,153364
overview,United Kingdom,K02000001,2021-04-21,35,153331
overview,United Kingdom,K02000001,2021-04-20,35,153296
overview,United Kingdom,K02000001,2021-04-19,23,153261
overview,United Kingdom,K02000001,2021-04-18,31,153238
overview,United Kingdom,K02000001,2021-04-17,40,153207
overview,United Kingdom,K02000001,2021-04-16,31,153167
overview,United Kingdom,K02000001,2021-04-15,42,153136
overview,United Kingdom,K02000001,2021-04-14,34,153094
overview,United Kingdom,K02000001,2021-04-13,47,153060
overview,United Kingdom,K02000001,2021-04-12,37,153013
overview,United Kingdom,K02000001,2021-04-11,39,152976
overview,United Kingdom,K02000001,2021-04-10,43,152937
overview,United Kingdom,K02000001,2021-04-09,38,152894
overview,United Kingdom,K02000001,2021-04-08,61,152856
overview,United Kingdom,K02000001,2021-04-07,45,152795
overview,United Kingdom,K02000001,2021-04-06,45,152750
overview,United Kingdom,K02000001,2021-04-05,44,152705
overview,United Kingdom,K02000001,2021-04-04,52,152661
overview,United Kingdom,K02000001,2021-04-03,40,152609
overview,United Kingdom,K02000001,2021-04-02,50,152569
overview,United Kingdom,K02000001,2021-04-01,63,152519
overview,United Kingdom,K02000001,2021-03-31,74,152456
overview,United Kingdom,K02000001,2021-03-30,54,152382
overview,United Kingdom,K02000001,2021-03-29,68,152328
overview,United Kingdom,K02000001,2021-03-28,49,152260
overview,United Kingdom,K02000001,2021-03-27,64,152211
overview,United Kingdom,K02000001,2021-03-26,75,152147
overview,United Kingdom,K02000001,2021-03-25,78,152072
overview,United Kingdom,K02000001,2021-03-24,70,151994
overview,United Kingdom,K02000001,2021-03-23,94,151924
overview,United Kingdom,K02000001,2021-03-22,105,151830
overview,United Kingdom,K02000001,2021-03-21,124,151725
overview,United Kingdom,K02000001,2021-03-20,99,151601
overview,United Kingdom,K02000001,2021-03-19,102,151502
overview,United Kingdom,K02000001,2021-03-18,99,151400
overview,United Kingdom,K02000001,2021-03-17,127,151301
overview,United Kingdom,K02000001,2021-03-16,114,151174
overview,United Kingdom,K02000001,2021-03-15,135,151060
overview,United Kingdom,K02000001,2021-03-14,135,150925
overview,United Kingdom,K02000001,2021-03-13,134,150790
overview,United Kingdom,K02000001,2021-03-12,134,150656
overview,United Kingdom,K02000001,2021-03-11,173,150522
overview,United Kingdom,K02000001,2021-03-10,160,150349
overview,United Kingdom,K02000001,2021-03-09,185,150189
overview,United Kingdom,K02000001,2021-03-08,196,150004
overview,United Kingdom,K02000001,2021-03-07,194,149808
overview,United Kingdom,K02000001,2021-03-06,210,149614
overview,United Kingdom,K02000001,2021-03-05,222,149404
overview,United Kingdom,K02000001,2021-03-04,233,149182
overview,United Kingdom,K02000001,2021-03-03,214,148949
overview,United Kingdom,K02000001,2021-03-02,244,148735
overview,United Kingdom,K02000001,2021-03-01,292,148491
overview,United Kingdom,K02000001,2021-02-28,278,148199
overview,United Kingdom,K02000001,2021-02-27,306,147921
overview,United Kingdom,K02000001,2021-02-26,301,147615
overview,United Kingdom,K02000001,2021-02-25,349,147314
overview,United Kingdom,K02000001,2021-02-24,363,146965
overview,United Kingdom,K02000001,2021-02-23,377,146602
overview,United Kingdom,K02000001,2021-02-22,376,146225
overview,United Kingdom,K02000001,2021-02-21,411,145849
overview,United Kingdom,K02000001,2021-02-20,449,145438
overview,United Kingdom,K02000001,2021-02-19,465,144989
overview,United Kingdom,K02000001,2021-02-18,521,144524
overview,United Kingdom,K02000001,2021-02-17,504,144003
overview,United Kingdom,K02000001,2021-02-16,565,143499
overview,United Kingdom,K02000001,2021-02-15,611,142934
overview,United Kingdom,K02000001,2021-02-14,600,142323
overview,United Kingdom,K02000001,2021-02-13,582,141723
overview,United Kingdom,K02000001,2021-02-12,633,141141
overview,United Kingdom,K02000001,2021-02-11,671,140508
overview,United Kingdom,K02000001,2021-02-10,710,139837
overview,United Kingdom,K02000001,2021-02-09,722,139127
overview,United Kingdom,K02000001,2021-02-08,778,138405
overview,United Kingdom,K02000001,2021-02-07,751,137627
overview,United Kingdom,K02000001,2021-02-06,783,136876
overview,United Kingdom,K02000001,2021-02-05,872,136093
overview,United Kingdom,K02000001,2021-02-04,826,135221
overview,United Kingdom,K02000001,2021-02-03,968,134395
overview,United Kingdom,K02000001,2021-02-02,959,133427
overview,United Kingdom,K02000001,2021-02-01,1005,132468
overview,United Kingdom,K02000001,2021-01-31,992,131463
overview,United Kingdom,K02000001,2021-01-30,1023,130471
overview,United Kingdom,K02000001,2021-01-29,1153,129448
overview,United Kingdom,K02000001,2021-01-28,1222,128295
overview,United Kingdom,K02000001,2021-01-27,1227,127073
overview,United Kingdom,K02000001,2021-01-26,1169,125846
overview,United Kingdom,K02000001,2021-01-25,1258,124677
overview,United Kingdom,K02000001,2021-01-24,1233,123419
overview,United Kingdom,K02000001,2021-01-23,1283,122186
overview,United Kingdom,K02000001,2021-01-22,1332,120903
overview,United Kingdom,K02000001,2021-01-21,1344,119571
overview,United Kingdom,K02000001,2021-01-20,1377,118227
overview,United Kingdom,K02000001,2021-01-19,1484,116850
overview,United Kingdom,K02000001,2021-01-18,1399,115366
overview,United Kingdom,K02000001,2021-01-17,1355,113967
overview,United Kingdom,K02000001,2021-01-16,1414,112612
overview,United Kingdom,K02000001,2021-01-15,1319,111198
overview,United Kingdom,K02000001,2021-01-14,1338,109879
overview,United Kingdom,K02000001,2021-01-13,1304,108541
overview,United Kingdom,K02000001,2021-01-12,1315,107237
overview,United Kingdom,K02000001,2021-01-11,1238,105922
overview,United Kingdom,K02000001,2021-01-10,1169,104684
overview,United Kingdom,K02000001,2021-01-09,1091,103515
overview,United Kingdom,K02000001,2021-01-08,1051,102424
overview,United Kingdom,K02000001,2021-01-07,1053,101373
overview,United Kingdom,K02000001,2021-01-06,1014,100320
overview,United Kingdom,K02000001,2021-01-05,966,99306
overview,United Kingdom,K02000001,2021-01-04,895,98340
overview,United Kingdom,K02000001,2021-01-03,807,97445
overview,United Kingdom,K02000001,2021-01-02,831,96638
overview,United Kingdom,K02000001,2021-01-01,809,95807
overview,United Kingdom,K02000001,2020-12-31,824,94998
overview,United Kingdom,K02000001,2020-12-30,760,94174
overview,United Kingdom,K02000001,2020-12-29,713,93414
overview,United Kingdom,K02000001,2020-12-28,723,92701
overview,United Kingdom,K02000001,2020-12-27,718,91978
overview,United Kingdom,K02000001,2020-12-26,692,91260
overview,United Kingdom,K02000001,2020-12-25,655,90568
overview,United Kingdom,K02000001,2020-12-24,616,89913
overview,United Kingdom,K02000001,2020-12-23,629,89297
overview,United Kingdom,K02000001,2020-12-22,629,88668
overview,United Kingdom,K02000001,2020-12-21,602,88039
overview,United Kingdom,K02000001,2020-12-20,551,87437
overview,United Kingdom,K02000001,2020-12-19,548,86886
overview,United Kingdom,K02000001,2020-12-18,586,86338
overview,United Kingdom,K02000001,2020-12-17,567,85752
overview,United Kingdom,K02000001,2020-12-16,484,85185
overview,United Kingdom,K02000001,2020-12-15,507,84701
overview,United Kingdom,K02000001,2020-12-14,506,84194
overview,United Kingdom,K02000001,2020-12-13,480,83688
overview,United Kingdom,K02000001,2020-12-12,488,83208
overview,United Kingdom,K02000001,2020-12-11,491,82720
overview,United Kingdom,K02000001,2020-12-10,496,82229
overview,United Kingdom,K02000001,2020-12-09,448,81733
overview,United Kingdom,K02000001,2020-12-08,472,81285
overview,United Kingdom,K02000001,2020-12-07,466,80813
overview,United Kingdom,K02000001,2020-12-06,436,80347
overview,United Kingdom,K02000001,2020-12-05,407,79911
overview,United Kingdom,K02000001,2020-12-04,499,79504
overview,United Kingdom,K02000001,2020-12-03,504,79005
overview,United Kingdom,K02000001,2020-12-02,414,78501
overview,United Kingdom,K02000001,2020-12-01,425,78087
overview,United Kingdom,K02000001,2020-11-30,465,77662
overview,United Kingdom,K02000001,2020-11-29,501,77197
overview,United Kingdom,K02000001,2020-11-28,486,76696
overview,United Kingdom,K02000001,2020-11-27,460,76210
overview,United Kingdom,K02000001,2020-11-26,461,75750
overview,United Kingdom,K02000001,2020-11-25,499,75289
overview,United Kingdom,K02000001,2020-11-24,496,74790
overview,United Kingdom,K02000001,2020-11-23,508,74294
overview,United Kingdom,K02000001,2020-11-22,512,73786
overview,United Kingdom,K02000001,2020-11-21,498,73274
overview,United Kingdom,K02000001,2020-11-20,485,72776
overview,United Kingdom,K02000001,2020-11-19,485,72291
overview,United Kingdom,K02000001,2020-11-18,514,71806
overview,United Kingdom,K02000001,2020-11-17,466,71292
overview,United Kingdom,K02000001,2020-11-16,431,70826
overview,United Kingdom,K02000001,2020-11-15,457,70395
overview,United Kingdom,K02000001,2020-11-14,459,69938
overview,United Kingdom,K02000001,2020-11-13,450,69479
overview,United Kingdom,K02000001,2020-11-12,430,69029
overview,United Kingdom,K02000001,2020-11-11,409,68599
overview,United Kingdom,K02000001,2020-11-10,410,68190
overview,United Kingdom,K02000001,2020-11-09,493,67780
overview,United Kingdom,K02000001,2020-11-08,433,67287
overview,United Kingdom,K02000001,2020-11-07,417,66854
overview,United Kingdom,K02000001,2020-11-06,417,66437
overview,United Kingdom,K02000001,2020-11-05,388,66020
overview,United Kingdom,K02000001,2020-11-04,340,65632
overview,United Kingdom,K02000001,2020-11-03,377,65292
overview,United Kingdom,K02000001,2020-11-02,338,64915
overview,United Kingdom,K02000001,2020-11-01,359,64577
overview,United Kingdom,K02000001,2020-10-31,340,64218
overview,United Kingdom,K02000001,2020-10-30,352,63878
overview,United Kingdom,K02000001,2020-10-29,320,63526
overview,United Kingdom,K02000001,2020-10-28,281,63206
overview,United Kingdom,K02000001,2020-10-27,285,62925
overview,United Kingdom,K02000001,2020-10-26,282,62640
overview,United Kingdom,K02000001,2020-10-25,255,62358
overview,United Kingdom,K02000001,2020-10-24,219,62103
overview,United Kingdom,K02000001,2020-10-23,225,61884
overview,United Kingdom,K02000001,2020-10-22,242,61659
overview,United Kingdom,K02000001,2020-10-21,232,61417
overview,United Kingdom,K02000001,2020-10-20,210,61185
overview,United Kingdom,K02000001,2020-10-19,193,60975
overview,United Kingdom,K02000001,2020-10-18,167,60782
overview,United Kingdom,K02000001,2020-10-17,186,60615
overview,United Kingdom,K02000001,2020-10-16,162,60429
overview,United Kingdom,K02000001,2020-10-15,152,60267
overview,United Kingdom,K02000001,2020-10-14,123,60115
overview,United Kingdom,K02000001,2020-10-13,119,59992
overview,United Kingdom,K02000001,2020-10-12,120,59873
overview,United Kingdom,K02000001,2020-10-11,128,59753
overview,United Kingdom,K02000001,2020-10-10,107,59625
overview,United Kingdom,K02000001,2020-10-09,96,59518
overview,United Kingdom,K02000001,2020-10-08,97,59422
overview,United Kingdom,K02000001,2020-10-07,110,59325
overview,United Kingdom,K02000001,2020-10-06,84,59215
overview,United Kingdom,K02000001,2020-10-05,68,59131
overview,United Kingdom,K02000001,2020-10-04,63,59063
overview,United Kingdom,K02000001,2020-10-03,70,59000
overview,United Kingdom,K02000001,2020-10-02,74,58930
overview,United Kingdom,K02000001,2020-10-01,71,58856
overview,United Kingdom,K02000001,2020-09-30,61,58785
overview,United Kingdom,K02000001,2020-09-29,48,58724
overview,United Kingdom,K02000001,2020-09-28,55,58676
overview,United Kingdom,K02000001,2020-09-27,56,58621
overview,United Kingdom,K02000001,2020-09-26,47,58565
overview,United Kingdom,K02000001,2020-09-25,40,58518
overview,United Kingdom,K02000001,2020-09-24,34,58478
overview,United Kingdom,K02000001,2020-09-23,58,58444
overview,United Kingdom,K02000001,2020-09-22,39,58386
overview,United Kingdom,K02000001,2020-09-21,30,58347
overview,United Kingdom,K02000001,2020-09-20,40,58317
overview,United Kingdom,K02000001,2020-09-19,25,58277
overview,United Kingdom,K02000001,2020-09-18,30,58252
overview,United Kingdom,K02000001,2020-09-17,38,58222
overview,United Kingdom,K02000001,2020-09-16,31,58184
overview,United Kingdom,K02000001,2020-09-15,26,58153
overview,United Kingdom,K02000001,2020-09-14,21,58127
overview,United Kingdom,K02000001,2020-09-13,20,58106
overview,United Kingdom,K02000001,2020-09-12,23,58086
overview,United Kingdom,K02000001,2020-09-11,20,58063
overview,United Kingdom,K02000001,2020-09-10,16,58043
overview,United Kingdom,K02000001,2020-09-09,14,58027
overview,United Kingdom,K02000001,2020-09-08,16,58013
overview,United Kingdom,K02000001,2020-09-07,24,57997
overview,United Kingdom,K02000001,2020-09-06,13,57973
overview,United Kingdom,K02000001,2020-09-05,14,57960
overview,United Kingdom,K02000001,2020-09-04,15,57946
overview,United Kingdom,K02000001,2020-09-03,9,57931
overview,United Kingdom,K02000001,2020-09-02,15,57922
overview,United Kingdom,K02000001,2020-09-01,11,57907
overview,United Kingdom,K02000001,2020-08-31,18,57896
overview,United Kingdom,K02000001,2020-08-30,11,57878
overview,United Kingdom,K02000001,2020-08-29,8,57867
overview,United Kingdom,K02000001,2020-08-28,12,57859
overview,United Kingdom,K02000001,2020-08-27,12,57847
overview,United Kingdom,K02000001,2020-08-26,16,57835
overview,United Kingdom,K02000001,2020-08-25,22,57819
overview,United Kingdom,K02000001,2020-08-24,10,57797
overview,United Kingdom,K02000001,2020-08-23,17,57787
overview,United Kingdom,K02000001,2020-08-22,12,57770
overview,United Kingdom,K02000001,2020-08-21,10,57758
overview,United Kingdom,K02000001,2020-08-20,16,57748
overview,United Kingdom,K02000001,2020-08-19,13,57732
overview,United Kingdom,K02000001,2020-08-18,15,57719
overview,United Kingdom,K02000001,2020-08-17,21,57704
overview,United Kingdom,K02000001,2020-08-16,15,57683
overview,United Kingdom,K02000001,2020-08-15,23,57668
overview,United Kingdom,K02000001,2020-08-14,18,57645
overview,United Kingdom,K02000001,2020-08-13,23,57627
overview,United Kingdom,K02000001,2020-08-12,24,57604
overview,United Kingdom,K02000001,2020-08-11,20,57580
overview,United Kingdom,K02000001,2020-08-10,25,57560
overview,United Kingdom,K02000001,2020-08-09,19,57535
overview,United Kingdom,K02000001,2020-08-08,22,57516
overview,United Kingdom,K02000001,2020-08-07,24,57494
overview,United Kingdom,K02000001,2020-08-06,21,57470
overview,United Kingdom,K02000001,2020-08-05,13,57449
overview,United Kingdom,K02000001,2020-08-04,27,57436
overview,United Kingdom,K02000001,2020-08-03,23,57409
overview,United Kingdom,K02000001,2020-08-02,17,57386
overview,United Kingdom,K02000001,2020-08-01,20,57369
overview,United Kingdom,K02000001,2020-07-31,31,57349
overview,United Kingdom,K02000001,2020-07-30,17,57318
overview,United Kingdom,K02000001,2020-07-29,28,57301
overview,United Kingdom,K02000001,2020-07-28,26,57273
overview,United Kingdom,K02000001,2020-07-27,18,57247
overview,United Kingdom,K02000001,2020-07-26,32,57229
overview,United Kingdom,K02000001,2020-07-25,23,57197
overview,United Kingdom,K02000001,2020-07-24,19,57174
overview,United Kingdom,K02000001,2020-07-23,36,57155
overview,United Kingdom,K02000001,2020-07-22,34,57119
overview,United Kingdom,K02000001,2020-07-21,31,57085
overview,United Kingdom,K02000001,2020-07-20,31,57054
overview,United Kingdom,K02000001,2020-07-19,24,57023
overview,United Kingdom,K02000001,2020-07-18,31,56999
overview,United Kingdom,K02000001,2020-07-17,34,56968
overview,United Kingdom,K02000001,2020-07-16,21,56934
overview,United Kingdom,K02000001,2020-07-15,41,56913
overview,United Kingdom,K02000001,2020-07-14,42,56872
overview,United Kingdom,K02000001,2020-07-13,45,56830
overview,United Kingdom,K02000001,2020-07-12,32,56785
overview,United Kingdom,K02000001,2020-07-11,38,56753
overview,United Kingdom,K02000001,2020-07-10,44,56715
overview,United Kingdom,K02000001,2020-07-09,61,56671
overview,United Kingdom,K02000001,2020-07-08,47,56610
overview,United Kingdom,K02000001,2020-07-07,43,56563
overview,United Kingdom,K02000001,2020-07-06,54,56520
overview,United Kingdom,K02000001,2020-07-05,52,56466
overview,United Kingdom,K02000001,2020-07-04,52,56414
overview,United Kingdom,K02000001,2020-07-03,48,56362
overview,United Kingdom,K02000001,2020-07-02,61,56314
overview,United Kingdom,K02000001,2020-07-01,54,56253
overview,United Kingdom,K02000001,2020-06-30,81,56199
overview,United Kingdom,K02000001,2020-06-29,69,56118
overview,United Kingdom,K02000001,2020-06-28,71,56049
overview,United Kingdom,K02000001,2020-06-27,73,55978
overview,United Kingdom,K02000001,2020-06-26,79,55905
overview,United Kingdom,K02000001,2020-06-25,108,55826
overview,United Kingdom,K02000001,2020-06-24,101,55718
overview,United Kingdom,K02000001,2020-06-23,97,55617
overview,United Kingdom,K02000001,2020-06-22,83,55520
overview,United Kingdom,K02000001,2020-06-21,80,55437
overview,United Kingdom,K02000001,2020-06-20,87,55357
overview,United Kingdom,K02000001,2020-06-19,88,55270
overview,United Kingdom,K02000001,2020-06-18,90,55182
overview,United Kingdom,K02000001,2020-06-17,105,55092
overview,United Kingdom,K02000001,2020-06-16,120,54987
overview,United Kingdom,K02000001,2020-06-15,107,54867
overview,United Kingdom,K02000001,2020-06-14,136,54760
overview,United Kingdom,K02000001,2020-06-13,101,54624
